MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
51544;2000;01;01;;0.043282;0.000072;0.377909;0.000048;;0.3553880;0.0000109;0.0009536;0.0000097;;;;;;-0.000005;0.000024;-0.000050;0.000017
51545;2000;01;02;;0.043551;0.000072;0.377738;0.000048;;0.3545048;0.0000115;0.0008311;0.0000100;;;;;;0.000016;0.000024;-0.000071;0.000017
51546;2000;01;03;;0.043681;0.000071;0.377422;0.000048;;0.3537672;0.0000121;0.0006912;0.0000103;;;;;;0.000036;0.000025;-0.000093;0.000017
51547;2000;01;04;;0.043462;0.000071;0.377133;0.000048;;0.3531797;0.0000114;0.0005566;0.0000106;;;;;;0.000057;0.000025;-0.000114;0.000018
51548;2000;01;05;;0.043084;0.000071;0.376869;0.000048;;0.3527503;0.0000068;0.0004395;0.0000109;;;;;;0.000078;0.000025;-0.000136;0.000018
51549;2000;01;06;;0.043029;0.000071;0.376412;0.000048;;0.3523245;0.0000108;0.0003944;0.0000111;;;;;;0.000099;0.000025;-0.000136;0.000018
51550;2000;01;07;;0.043535;0.000072;0.376280;0.000048;;0.3518914;0.0000155;0.0004043;0.0000114;;;;;;0.000121;0.000025;-0.000130;0.000019
51551;2000;01;08;;0.043845;0.000072;0.376262;0.000048;;0.3514346;0.0000125;0.0004180;0.0000117;;;;;;0.000142;0.000025;-0.000123;0.000019
51552;2000;01;09;;0.043831;0.000072;0.376026;0.000049;;0.3510388;0.0000080;0.0004991;0.0000120;;;;;;0.000164;0.000025;-0.000116;0.000019
51553;2000;01;10;;0.043606;0.000072;0.375570;0.000049;;0.3505347;0.0000079;0.0005789;0.0000123;;;;;;0.000185;0.000025;-0.000110;0.000019
